base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1547866800.0,3833367.0,"{'temp': 51.8, 'pressure': 995, 'humidity': 71, 'temp_min': 51.8, 'temp_max': 51.8}",,Ushuaia,,,"{'type': 1, 'id': 8303, 'message': 0.0034, 'country': 'AR', 'sunrise': 1547886587, 'sunset': 1547945823}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 13.87, 'deg': 320}"
stations,{'all': 75},200,"{'lon': -70.91, 'lat': -53.16}",1547866800.0,3874787.0,"{'temp': 57.2, 'pressure': 1000, 'humidity': 76, 'temp_min': 57.2, 'temp_max': 57.2}",,Punta Arenas,,,"{'type': 1, 'id': 8487, 'message': 0.0038, 'country': 'CL', 'sunrise': 1547887733, 'sunset': 1547945932}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 10.29, 'deg': 310}"
stations,{'all': 75},200,"{'lon': 33.23, 'lat': 39.92}",1547869800.0,315720.0,"{'temp': 29.35, 'pressure': 1021, 'humidity': 86, 'temp_min': 28.4, 'temp_max': 30.2}",,Elmadag,,,"{'type': 1, 'id': 6947, 'message': 0.0034, 'country': 'TR', 'sunrise': 1547874310, 'sunset': 1547909439}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 2.24, 'deg': 200}"
stations,{'all': 88},200,"{'lon': 108.9, 'lat': 0.7}",1547871395.0,1625908.0,"{'temp': 81.4, 'pressure': 1012.54, 'humidity': 93, 'temp_min': 81.4, 'temp_max': 81.4, 'sea_level': 1022.75, 'grnd_level': 1012.54}",,Sungairaya,,,"{'message': 0.0048, 'country': 'ID', 'sunrise': 1547851944, 'sunset': 1547895455}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 3.15, 'deg': 92.0041}"
stations,{'all': 75},200,"{'lon': -115.79, 'lat': 60.82}",1547866800.0,5972762.0,"{'temp': -18.41, 'pressure': 1031, 'humidity': 75, 'temp_min': -18.41, 'temp_max': -18.41}",,Hay River,,,"{'type': 1, 'id': 819, 'message': 0.0034, 'country': 'CA', 'sunrise': 1547915390, 'sunset': 1547939921}",24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 9.17, 'deg': 80}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 8},200,"{'lon': 115.35, 'lat': -33.64}",1547871396.0,2075265.0,"{'temp': 79.69, 'pressure': 1029.16, 'humidity': 70, 'temp_min': 79.69, 'temp_max': 79.69, 'sea_level': 1030.21, 'grnd_level': 1029.16}",,Busselton,,,"{'message': 0.0033, 'country': 'AU', 'sunrise': 1547846838, 'sunset': 1547897442}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 6.17, 'deg': 81.5041}"
stations,{'all': 8},200,"{'lon': -42.02, 'lat': -22.97}",1547871396.0,3471451.0,"{'temp': 78.34, 'pressure': 1025.51, 'humidity': 86, 'temp_min': 78.34, 'temp_max': 78.34, 'sea_level': 1026.44, 'grnd_level': 1025.51}",,Arraial do Cabo,,,"{'message': 0.0035, 'country': 'BR', 'sunrise': 1547885920, 'sunset': 1547933922}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 17.13, 'deg': 45.5041}"
stations,{'all': 0},200,"{'lon': 24.66, 'lat': 71}",1547869800.0,779622.0,"{'temp': 19.4, 'pressure': 994, 'humidity': 85, 'temp_min': 19.4, 'temp_max': 19.4}",,Havoysund,,,"{'type': 1, 'id': 1632, 'message': 0.0038, 'country': 'NO', 'sunrise': 0, 'sunset': 0}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 14.99, 'deg': 220}"
stations,{'all': 44},200,"{'lon': 122.67, 'lat': 11}",1547871155.0,1714733.0,"{'temp': 80.86, 'pressure': 1004.67, 'humidity': 68, 'temp_min': 80.86, 'temp_max': 80.86, 'sea_level': 1024.9, 'grnd_level': 1004.67}",,Dingle,,,"{'message': 0.0029, 'country': 'PH', 'sunrise': 1547849568, 'sunset': 1547891226}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 18.03, 'deg': 45.0041}"
stations,{'all': 90},200,"{'lon': -73.75, 'lat': 42.65}",1547870220.0,5106834.0,"{'temp': 29.59, 'pressure': 1021, 'humidity': 69, 'temp_min': 26.6, 'temp_max': 32}",,Albany,,,"{'type': 1, 'id': 3273, 'message': 0.0096, 'country': 'US', 'sunrise': 1547900414, 'sunset': 1547934698}",16093.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 6.93, 'deg': 310}"
stations,{'all': 20},200,"{'lon': 102.29, 'lat': -0.42}",1547871397.0,1642773.0,"{'temp': 81.67, 'pressure': 1012.78, 'humidity': 80, 'temp_min': 81.67, 'temp_max': 81.67, 'sea_level': 1024.46, 'grnd_level': 1012.78}",,Japura,,,"{'message': 0.0036, 'country': 'ID', 'sunrise': 1547853431, 'sunset': 1547897142}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 2.93, 'deg': 345.504}"
stations,{'all': 90},200,"{'lon': -5.45, 'lat': 37.12}",1547868600.0,2513509.0,"{'temp': 46.98, 'pressure': 1019, 'humidity': 100, 'temp_min': 46.4, 'temp_max': 48.2}",,Moron de la Frontera,,,"{'type': 1, 'id': 6444, 'message': 0.0037, 'country': 'ES', 'sunrise': 1547883178, 'sunset': 1547919140}",2000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 2.24, 'deg': 100}"
stations,{'all': 0},200,"{'lon': 2.43, 'lat': 6.37}",1547871398.0,2394819.0,"{'temp': 76.09, 'pressure': 1018.78, 'humidity': 92, 'temp_min': 76.09, 'temp_max': 76.09, 'sea_level': 1024.82, 'grnd_level': 1018.78}",,Cotonou,,,"{'message': 0.0035, 'country': 'BJ', 'sunrise': 1547878008, 'sunset': 1547920511}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.72, 'deg': 213.004}"
stations,{'all': 20},200,"{'lon': 18.42, 'lat': -33.93}",1547866800.0,3369157.0,"{'temp': 59, 'pressure': 1021, 'humidity': 62, 'temp_min': 59, 'temp_max': 59}",,Cape Town,,,"{'type': 1, 'id': 1899, 'message': 0.0037, 'country': 'ZA', 'sunrise': 1547870077, 'sunset': 1547920738}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 4.7, 'deg': 230}"
stations,{'all': 0},200,"{'lon': 101.72, 'lat': 26.59}",1547871398.0,6929460.0,"{'temp': 56.74, 'pressure': 838.66, 'humidity': 57, 'temp_min': 56.74, 'temp_max': 56.74, 'sea_level': 1030.21, 'grnd_level': 838.66}",,Panzhihua,,,"{'message': 0.0037, 'country': 'CN', 'sunrise': 1547856152, 'sunset': 1547894708}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.6, 'deg': 196.004}"
